10-digit PSGC,Name,Correspondence Code
0702208000,Balamban,072208000
0702209000,Bantayan,072209000
0702210000,Barili,072210000
0702212000,Boljoon,072212000
0702213000,Borbon,072213000
0702215000,Carmen,072215000
0702216000,Catmon,072216000
0702218000,Compostela,072218000
0702219000,Consolacion,072219000
0702220000,Cordova,072220000
0702221000,Daanbantayan,072221000
0702222000,Dalaguete,072222000
0702224000,Dumanjug,072224000
0702225000,Ginatilan,072225000
0702227000,Liloan,072227000
0702228000,Madridejos,072228000
0702229000,Malabuyoc,072229000
0702231000,Medellin,072231000
0702232000,Minglanilla,072232000
0702233000,Moalboal,072233000
0702235000,Oslob,072235000
0702236000,Pilar,072236000
0702237000,Pinamungajan,072237000
0702238000,Poro,072238000
0702239000,Ronda,072239000
0702240000,Samboan,072240000
0702241000,San Fernando,072241000
0702242000,San Francisco,072242000
0702243000,San Remigio,072243000
0702244000,Santa Fe,072244000
0702245000,Santander,072245000
0702246000,Sibonga,072246000
0702247000,Sogod,072247000
0702248000,Tabogon,072248000
0702249000,Tabuelan,072249000
0702252000,Tuburan,072252000
0702253000,Tudela,072253000
0802601000,Arteche,082601000
0802602000,Balangiga,082602000
0802603000,Balangkayan,082603000
0802605000,Can-Avid,082605000
0802606000,Dolores,082606000
0802607000,General Macarthur,082607000
0802608000,Giporlos,082608000
0802609000,Guiuan,082609000
0802610000,Hernani,082610000
